Tipo;Codigo Topaz;Agencia;Dirección;Area;Distrito;Provincia;Departamento;Zona
Matriz;222;Abancay;Av. Diaz parcena n° 917 abancay-apurimac;308 m2;Abancay;Abancay;Apurimac;Sur
Matriz;220;Albarracin Municipal;Av. Municipal N° 701 ;664.49 m2;Coronel Gregorio Albarracin Lanchipa;Tacna;Tacna;Sur
Agencia;813;Alto Selva Alegre;Pueblo Joven Apurimac Mz. L Lote 1 y Lote 1-A, ;302.79 m2;Alto Selva Alegre;Arequipa;Arequipa;Sur
Agencia;781;Alto Trujillo;Mz p lote 21 barrio 3 - sector t3, centro poblado alto trujillo ;500.65 m2;El Porvenir;Trujillo;La Libertad;Norte
Agencia;210;Ancon;Calle ancash mz m lote 17 urb. Zona 3 (antes urbanizacion de interes social san jose);237.27 m2;Ancon;Lima;Lima;Lima
Matriz;326;Andahuaylas;Jr. Guillermo cáceres tresierra nº 369 - 371;255.75 m2;Andahuaylas;Andahuaylas;Apurimac;Sur
Agencia;504;Angelica Gamarra;Av. Angelica Gamarra Mz D Lt 4 Urb El trebol;310.10 m2;Los Olivos;Lima;Lima;Lima
Agencia;221;Anta;Jr. Jaquahuana Nº 335;281 m2;Anta;Anta;Cusco;Sur
Agencia;237;Aplao;Av. 3 de abril mz c2 lote 4, centro poblado de aplao, provincia de castilla, departamento de arequipa;321.28 m2;Aplao;Castilla;Arequipa;Sur
Matriz;300;Arequipa Cercado;Calle 28 de julio n° 100a y 100b (antes calle  san juan de dios n° 601 y calle 28 de julio n° 100 a –b, sección 02);1060.53 m2;Arequipa;Arequipa;Arequipa;Sur
Matriz;302;Atahualpa;Av. Atahualpa 445. Pueblo Libre;676.70 m2;Atahualpa;Cajamarca;Cajamarca;Norte
Agencia;108;Aucayacu;Jr. Tingo Maria 248 y 258, lote 6, mz 16D del sector Vida Nueva en la Ciudad de Aucayacu;260.50 m2;Jose Crespo y Castillo;Leoncio Prado;Huanuco;Centro
Matriz;486;Avelino Matriz;Av. Daniel alcides carrión 265;1255.89 m2;La Pampilla;Arequipa;Arequipa;Sur
Agencia;236;Ayabaca;Calle caceres n° 101, distrito y provincia de ayabaca, departamento de piura;199.11 m2;Ayabaca;Ayabaca;Piura;Norte
Agencia;9;Ayacucho;Av. Mariscal castilla 525;704.89 m2;Ayacucho;Huamanga;Ayacucho;Sur
Matriz;560;Ayacucho Matriz;Jr. Arequipa N° 291, 297, 299 y Jr. Sol N° 492,498  ;1127.61 m2;Ayacucho;Huamanga;Ayacucho;Sur
Agencia;110;Azangaro;Jiron Huancane 169;225.60 m2;Azangaro;Azangaro;Puno;Sur
Agencia;116;Bagua Chica;AV. Mariano Melgar 456 ;312.13 m2;Bagua;Bagua;Amazonas;Oriente
Agencia;803;Bagua Grande;Av. Chachapoyas 2374 -2376, lote 3;686.29 m2;Bagua Grande;Utcubamba;Amazonas;Oriente
Agencia;207;Bambamarca;J. Miguel grau 278;396.82 m2;Bambamarca;Bambamarca;Cajamarca;Norte
OI;207;Bambamarca;Centro Poblado Bambamarca mz 123 lote 14, dist. De Bambamarca, Prov. De Hualgayoc y Dpto. De Cajamarca.;132 m2;Bambamarca;Hualgayoc;Cajamarca;Norte
OI;OI;Bambamarca;Centro Poblado Bambamarca mz 123 lote 14, dist. De Bambamarca, Prov. De Hualgayoc y Dpto. De Cajamarca.;132 m2;Bambamarca;Hualgayoc;Cajamarca;Norte
Agencia;515;Barranca;Jr. Alonso Ugarte N°120  (a 1/2 cuadra de Plaza de Armas) ;685.70 m2;Barranca;Barranca;Lima;Lima
Agencia;845;Bayovar;Mz. I-10 lote 4 - Programa Ciudad Mariscal Cáceres Sector II;302.48 m2;Sjl;Lima;Lima;Lima
Agencia;57;Bellavista;Av. El sol 120 barrio bellavista;360.72 m2;Bellavista;Puno;Puno;Sur
Agencia;182;Cajabamba;Jirón bolognesi n° 700;289 m2;Cajabamba;Cajabamba;Cajamarca;Norte
Agencia;665;Cajamarca;Jr. Amazonas N° 757, Zona dos de Mayo;890.54 m2;Cajamarca;Cajamarca;Cajamarca;Norte
Matriz;364;Cajamarca Matriz;Jr. Apurimac 625 - 627 ;839.29 m2;Cajamarca;Cajamarca;Cajamarca;Norte
BN;193;Calca;Calle Espinar 1874;48.29 m2;Calca;Cusco;Cusco;Sur
Agencia;211;Camana;Av. Mariscal Castilla N° 140;346 m2;Camana;Camana;Arequipa;Sur
Agencia;251;Canchaque;Centro Poblado Canchaque Mz.39 Lt.4 Distrito Canchaque, Provincia de Huancabamba, Departamento de Piura   ;200.79 m2;Canchaque;Huancabamba;Piura;Norte
Agencia;838;Canta Callao;Av. San Juan Masias Mz A O-1, Lote 37 y 38 Urb. San Juan Masías;402.88 m2;Callao;Callao;Lima;Lima
Agencia;463;Canto Grande;Av. Canto Grande 3510, altura del paradero N° 7;1216.51 m2;Sjl;Lima;Lima;Lima
Agencia;812;Canto Rey;Av. Proceres de la Ind. N° 3491 y 3491-A ;393.61 m2;Sjl;Lima;Lima;Lima
Agencia;489;Cañete;Calle Sepulveda 115-215 San Vicente de Cañete;432.84 m2;Cañete;Cañete;Lima;Lima
Matriz;483;Carabayllo;Av. Tupac amaru 3043 urb. El progreso;555.10 m2;Comas;Lima;Lima;Lima
Agencia;412;Carapongo;Av. Carapongo Mz H2 Lt. 11-12, Urb. San Antonio de Carapongo 2, distrito de Lurigancho - Chosica;246.55 m2;Lurigancho - Chosica;Lima;Lima;Lima
Matriz;205;Caraz;Jr. José de Sucre Nro. 1182;250.35 m2;Caraz;Huaylas;Ancash;Norte
Matriz;205;Caraz;Jr. José de Sucre Nro. 1182;250.35 m2;Caraz;Huaylas;Ancash;Norte
Agencia;106;Carhuaz;Av. El progreso nº 471;329.35 m2;Carhuaz;Carhuaz;Ancash;Norte
Agencia;20;Casma;Av. Nepeña mz. N lte. 16;198 m2;Casma;Casma;Ancash ;Norte
Matriz;536;Castilla Matriz;Av. Guardia civil esq. Las dalias mz b lt 1 urb. Miraflores ;991.90 m2;Castilla;Piura;Piura;Norte
Agencia;402;Catacaos;Jr. Ica # 699 – cercado;420.85 m2;Catacaos;Piura;Piura;Norte
Agencia;426;Cayalti;Cal. Progreso mza. 27a lote. 13 sec. 1 (posesion informal, cdo. Cayalti);385.55 m2;Cayalti;Chiclayo;Lambayeque;Norte
